Id,link,Title,Tags,Is Revevent
977330,977330,Run a Notes Agent on the server,<javascript><html><regex><validation><salesforce>,TRUE
12033435,12033435,lotus.domino.Session is not serialized,<apache><serialization><tomcat7><lotus-domino><lotus>,TRUE
57291006,57291006,Error = OROCRM => server_name <your_domain_name> www.<your_domain_name>;,<orocrm>,TRUE
57003560,57003560,How sort words into each record (user function)?,<filemaker>,TRUE
67279551,67279551,PL/SQL function to check for invalid characters in a string,<oracle><plsql><oracle-apex>,TRUE
45755392,45755392,Can we have to use Multi Select Picklist in Related Lookup Filter in Salesforce,<salesforce><visualforce><apex>,TRUE
21868177,21868177,How can I implement domino data services within an xpinc application to display a notes view in a restful state,<xpages><lotus-domino><xpinc>,TRUE
33219170,33219170,Apex test class - trigger not firing,<testing><triggers><apex>,TRUE
60280048,60280048,A different color recording that was created over an hour ago in Apex Oracle,<oracle><oracle-apex>,TRUE
65038265,65038265,Amazon Connect & Salesforce: Lambda not working INVALID_SESSION_ID,<python><amazon-web-services><salesforce-lightning>,TRUE
59915546,59915546,Salesforce apex code creates duplicates in custom object,<salesforce><apex>,TRUE
21055534,21055534,Salesforce Updating Checkbox value on change event,<checkbox><onchange><visualforce><apex>,TRUE
31721928,31721928,Oracle APEX Field Validation,<oracle><validation><plsql><oracle-apex>,TRUE
37832241,37832241,OPENROWSET syntax when using a variable,<sql><lotus-domino><lotus><openrowset>,TRUE
32030880,32030880,Loading JSON FIle in FileMaker for D3 in WebViewer,<javascript><json><d3.js><filemaker>,TRUE
64913223,64913223,spark-salesforce queryAll,<pyspark><jar><salesforce>,TRUE
7462749,7462749,Using Ant Scripts/Deployment tool within the Eclipse UI for Salesforce.com deployments,<eclipse><deployment><ant><salesforce>,TRUE
39699602,39699602,How to make Link in oracle apex viewed by a user and not for an other user,<oracle><oracle-apex>,TRUE
11015319,11015319,Lotus notes plugin to intercept outgoing emails (JAVA),<java><plugins><lotus-notes>,TRUE
61905341,61905341,Changing variable value in same session state,<oracle><oracle-apex><oracle-apex-5.1>,TRUE
52736363,52736363,Microsoft flow not triggering when new email is arrived,<automation><powerapps><power-automate>,TRUE
42293686,42293686,ibm domino want to save big xml string in to rich text field but getting limit error,<java><xml><lotus-domino>,TRUE
60565268,60565268,Google Apps Script: Salesforce OAuth2 integration,<google-apps-script><google-sheets><salesforce><google-oauth>,TRUE
63678354,63678354,How to wrap a salesforce live chat in angularjs,<angularjs><salesforce><livechat>,TRUE
58345697,58345697,How to create multiple products (item lines) in zoho books API when creating an invoice,<php><laravel><api><zoho><zohobooks>,TRUE
50655315,50655315,Prevent insertion of duplicate documents into Lotus notes database,<c#><lotus-notes><lotus>,TRUE
41485183,41485183,Building NSF/NTF using command line (Notes Domino Designer),<command-line><xpages><domino-designer-eclipse>,TRUE
14479876,14479876,I am facing some trouble while rendering page,<components><render><apex-code>,TRUE
26610013,26610013,Sent Email process not working,<oracle><oracle-apex>,TRUE
49305860,49305860,Apex dynamic action change field value based on another field,<apex><oracle-apex-5.1>,TRUE
67307456,67307456,Error in Salesforce SQL query activity setup,<sql><automation><salesforce><exacttarget>,TRUE
46629988,46629988,Processmaker Web Service in C#,<c#><wcf><processmaker>,TRUE
46389155,46389155,Only show tabs for admins in APEX,<admin><oracle-apex><oracle-apex-5>,TRUE
38262925,38262925,Pre rendering and post rendering in oracle apex,<oracle><oracle-apex>,TRUE
56045655,56045655,How to Nest Date Functions in SOQL Advanced Filter in Einstein Analytics Data Flow,<salesforce><soql><salesforce-einstein>,TRUE
19520246,19520246,malformed json in iOS from salesforce,<ios><nsstring><salesforce><apex>,TRUE
13085151,13085151,Textbox default value - OutSystems,<outsystems>,TRUE
5806004,5806004,Programmatically receive new emails using Lotus Notes,<c#><lotus-notes><interop-domino>,TRUE
59615918,59615918,Launch PowerApps from shortcut or command line,<powerapps>,TRUE
24121008,24121008,Source control enablement for Java Code in Domino Projects,<lotus-domino><domino-designer-eclipse>,TRUE
63379308,63379308,"OROCRM - related entities not available in the ""columns"" part in reports and segments",<report><segment><orocrm>,TRUE
65195275,65195275,Filter box layout issue in Oracle Apex Interactive report v4.2,<oracle-apex><oracle-apex-5>,TRUE
55466481,55466481,APEX collection only shows 10 fields,<oracle-apex>,TRUE
21788666,21788666,How to use Database.Statful in batch apex,<salesforce><apex-code>,TRUE
41272825,41272825,Calling URL Exports Programmatically - Returns (401) Unauthorized response,<powershell-2.0><servicenow>,TRUE
26386661,26386661,How to get the view UNID in Lotus Notes,<lotus-notes>,TRUE
45820126,45820126,How can we identify ip address of machine from which deployment was done on salesforce,<deployment><ip><salesforce><changeset>,TRUE
20852856,20852856,How to dynamically get listIds from Enhanced Lists,<salesforce><apex-code><visualforce>,TRUE
62647930,62647930,Issues generating Enterprise jar for Salesforce Soap API; issue with generated WSDL XML from Salesforce,<soap><compilation><wsdl><salesforce><wsc>,TRUE
12731737,12731737,csv file codification affects salesforce's Dataloader 25.0.2 behavior?,<upload><salesforce>,TRUE
25680553,25680553,Mail forwarding using Lotus Domino,<email><lotus-domino>,TRUE
48633981,48633981,Wordpress Custom Post Type (CPT) Archive Grid on Homepage with Genesis Framework,<php><wordpress><custom-post-type><genesis>,TRUE
55532783,55532783,Oracle apex problem with sigh in how to solve?,<oracle><oracle-apex>,TRUE
8293777,8293777,Retrieve Contacts from Salesforce & Show on Website,<html><sql><joomla><export><salesforce>,TRUE
25888392,25888392,Set value dynamic action not working in apex,<sql><oracle-apex>,TRUE
1650810,1650810,Force links in lotus notes emails to always open in a new window?,<html><internet-explorer><email><internet-explorer-8><lotus-notes>,TRUE
16191021,16191021,Tibco WSDL work at SOAP UI and failed in Iphone/Android,<tibco>,TRUE
61273331,61273331,APEX-Select2 works very slowly if the number of records are large,<jquery-select2><oracle-apex>,TRUE
19590420,19590420,Name of the jar file for TIBCO JMS palatte?,<java><jms><tibco><tibco-ems>,TRUE
23674579,23674579,SELECT from Collection denies to accept to_number/to_char,<sql><oracle><plsql><oracle-apex>,TRUE
20642102,20642102,How to exit a program at particuliar time while main loop is listening for message?,<c++><multithreading><timer><exit><tibco>,TRUE
46933121,46933121,How do I pass a table as parameter on Ajax callback,<javascript><oracle><oracle-apex><oracle-apex-5>,TRUE
29095864,29095864,Reflected XSS and Stored XSS in checmarx,<salesforce><xss><visualforce><apex>,TRUE
49250346,49250346,"IBM Notes | Mac OS High Siera | Exception in thread ""Thread-0"" java.lang.UnsatisfiedLinkError: no lsxbe in java.library.path",<java><macos><lotus-notes>,TRUE
22142690,22142690,Richtext field (CKEditor) doesnt keep value after 2nd submit for new(unsaved) document,<java><xpages><lotus-notes>,TRUE
21775983,21775983,XPages - get value of a textarea inside a dialog,<javascript><dojo><xpages><lotus-notes><xpages-ssjs>,TRUE
45001157,45001157,Shoutem - Modifying extensions,<shoutem>,TRUE
19256500,19256500,How to let each sub queue and sub topic to reply to main QueueMessageSender thru bridge?,<tibco><tibco-ems><tibco-topic>,TRUE
66876945,66876945,Can you make a report type with two objects that lookup to the same object?,<salesforce><salesforce-lightning>,TRUE
8229992,8229992,How to create Oracle database link with sysdba privilege,<oracle><oracle-apex><dblink>,TRUE
28193943,28193943,@JdbcGetConnection not working in XPiNC after upgrade to 9.0.1 FP3 'SSLv3 SSLContext not available',<xpages><lotus-notes><xpinc>,TRUE
12083572,12083572,Visualforce: Jquery treeview not working,<salesforce><apex-code><visualforce><force.com>,TRUE
59683630,59683630,Is it possible to view RDS data with Salesforce?,<amazon-web-services><salesforce><amazon-rds>,TRUE
12850121,12850121,Salesforce display custom fields using webservice,<salesforce><apex-code>,TRUE
50078568,50078568,Error opening a Salesforce File after creating a content version using REST API,<javascript><rest><http><base64><salesforce>,TRUE
48664911,48664911,Slow Query on salesforce_mapping_object and user table Drupal 7,<mysql><drupal><web><salesforce>,TRUE
41651008,41651008,"Understanding how to load a ""font-family"" in react native",<fonts><react-native><shoutem>,TRUE
43912910,43912910,Pl/SQL Parsing csv file located over an http url and loading into the tables automatically,<oracle><plsql><oracle-apex><oracle-apex-5.1>,TRUE
66051911,66051911,Add images to radiogroup/checkbox with html in Oracle Apex,<html><oracle-apex>,TRUE
63186757,63186757,Oracle Apex 20.1 Error: Error processing validation,<sql><oracle><oracle-apex>,TRUE
44498845,44498845,ServiceNow renaming attachment not getting SysId,<servicenow><servicenow-rest-api>,TRUE
3912975,3912975,Connect php with domino server,<php><lotus-domino>,TRUE
13690203,13690203,simple GUI for Tibco RV messages?,<user-interface><tibco>,TRUE
54060686,54060686,Can ZOHO deluge script getUrl() function read HTTP response headers?,<amazon-web-services><zoho><deluge>,TRUE
62543752,62543752,Can I assign a phone number to a Salesforce client instead of a Salesforce user?,<salesforce><twilio><sms>,TRUE
14444391,14444391,Oracle Apex - Administration and Users,<oracle-apex><database-administration>,TRUE
22249705,22249705,In apex Application i want to change in application for selling_price(when we enter the price) in tabular form,<database><oracle><oracle-apex>,TRUE
9073544,9073544,Strange Behaviour in Tibco BE 5.0..help needed,<tibco>,TRUE
38401297,38401297,Can Dot Net MVC Application import an external sdk (javascript library for canvas framework in salesforce) salesforce,<javascript><asp.net-mvc><c#-4.0><canvas><salesforce>,TRUE
15453108,15453108,Future Method is not updating value of a field,<triggers><salesforce><visualforce><force.com>,TRUE
53836967,53836967,DocuSignApi Test class for Salesforce,<soap><salesforce><docusignapi>,TRUE
66272207,66272207,Export attachments using Apex Data Loader,<salesforce><export><attachment><soql><apex-data-loader>,TRUE
21016006,21016006,Apex - Displaying a list after deserialising json,<json><salesforce><apex>,TRUE
19289762,19289762,signature error,<string><encoding><utf-8><apex-code><amazon-sns>,FALSE
59402662,59402662,Querying Information_Schema on MySQL (Azure) takes too long,<mysql><amazon-web-services><information-schema><azure-mysql-database><appian>,FALSE
40255028,40255028,Apex 5 and PL/SQL error in select statements,<plsql><oracle-apex-5>,TRUE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE
,,,,FALSE